figure_id,data_file,rows,sha256_16,paper_notes,source_artifacts,note
F1,fig01-divergence-ladder.csv,10,46916b5870ac5c33,"PN-13, PN-14, PN-21, PN-15/PN-43, PN-62",data/raw/e12/ssa/ssa-kld-tables.json | data/raw/e12/ssa/ssa-s5-results.json,"reference arm UD-Q6_K_XL; divergence is ladder-relative, not distance from FP16"
F1b,fig01b-adjacent-separation.csv,6,bf097208ab54b925,"PN-13, PN-21",data/raw/e12/ssa/ssa-kld-tables.json | data/raw/e12/ssa/ssa-s5-results.json,separation in units of the combined standard error; this is the 3.7-11.8 sigma range the paper quotes
F2,fig02-tail-amplification.csv,63,5685ca7c218b9bca,"PN-35 (corrected by PN-64), PN-62, PN-14",data/raw/e12/ssa/ssa-kld-tables.json,panel a = code/prose by quantile; panel b = quantile/own-mean shape incl. the KV-only control
F3,fig03-instrument-bounds.csv,14,6269928cb970a307,"PN-22, PN-28, PN-40, PN-33, PN-44, PN-60, PN-63, PN-50, PN-48",data/raw/e12/ssa/ssa-s7-paired.json | data/raw/e12/s9/s9-scores.json | data/raw/e12/ruler/s12-ruler.json | data/archive/ledger-data.json | data/raw/e12/ruler/s12-preds-Q6_K_XL-mk100-c131072.json | data/raw/e12/ruler/s12-preds-Q4_K_XL-mk100-c131072.json,min_attainable_p is the smallest two-sided exact McNemar p reachable at that discordant count
F28,fig28-multiplicity.csv,20,2538e4406b8a74ed,"PN-13, PN-21, PN-22, PN-28, PN-32, PN-40, PN-60",data/raw/e12/ssa/ssa-kld-tables.json | data/raw/e12/ssa/ssa-s7-paired.json | data/raw/e12/s9/s9-scores.json | data/raw/e12/ruler/s12-preds-Q6_K_XL-mk100-c131072.json | data/raw/e12/ruler/s12-preds-Q4_K_XL-mk100-c131072.json | data/raw/e12/s9/s9d-depthsweep.json,Holm and Benjamini-Hochberg over the whole 19-test family at alpha 0.05; DEFF columns give the design effect that would drop each divergence separation below the named critical value
F4,fig04-ceiling-matrix.csv,28,731ba9f9395749b8,"PN-6, PN-7, PN-39",data/raw/e12/tsweep-v2-Q4_K_XL.json | data/raw/e12/tsweep-v2-Q5_K_XL.json | data/raw/e12/tsweep-v2-Q6_K.json | data/raw/e12/tsweep-v2-Q6_K_XL.json,"each arm shown at its headline rung; every failure is a SINGLE attempt (PN-39) except Q6_K_XL@229,376"
T10,fig04b-sweep-full.csv,45,66dd8446e7f63278,"PN-6, PN-7, PN-8, PN-18, PN-19, PN-36, PN-39, PN-42, PN-45",data/raw/e12/tsweep-v2-Q4_K_XL.json | data/raw/e12/tsweep-v2-Q5_K_XL.json | data/raw/e12/tsweep-v2-Q6_K.json | data/raw/e12/tsweep-v2-Q6_K_XL.json,"the complete Wave-1 sweep, all cells, for the appendix table"
T11,fig04c-ceilings-summary.csv,4,ea259699c5c2d145,"PN-6, PN-7, PN-39, PN-42, PN-45",data/raw/e12/tsweep-v2-Q4_K_XL.json | data/raw/e12/tsweep-v2-Q5_K_XL.json | data/raw/e12/tsweep-v2-Q6_K.json | data/raw/e12/tsweep-v2-Q6_K_XL.json,"MTP n=2 + q4_0 KV + -sm layer, base cells at -ctxcp 4 only; the noise floor is PN-45's 40.7 % within-configuration spread, so a smaller between-ratio spread is not a measured ordering"
F5,fig05-speculation.csv,4,ff3a2ed850d5a111,"PN-23, PN-25, PN-26, PN-29",data/raw/e12/s8/s8-humaneval.json | data/raw/e12/s8/s8-scores-reparsed.json | data/raw/e12/s9/s9-determinism.json | data/raw/e12/s9/s9-dflash.json | data/raw/e12/s9/s9-scores.json,"UD-Q6_K, ctx 32,768, -ts 58,42, -ctxcp 32, q4_0 KV, greedy temp 0 / top_p 1 / seed 20260830"
F6,fig06-two-instruments.csv,12,2e759a98123a3e76,"PN-22, PN-28, PN-33, PN-13",data/raw/e12/ssa/ssa-s7-results.json | data/raw/e12/s9/s9-scores.json | data/raw/e12/ssa/ssa-kld-tables.json | data/raw/e12/ruler/s12-preds-Q6_K_XL-niah-c131072.json | data/raw/e12/ruler/s12-preds-Q4_K_XL-niah-c131072.json,"upper panel accuracy (%), lower panel divergence (nats, log scale) — the panels share only the x categories"
F7,fig07-tail-shape.csv,10,9c482094c3702daf,"PN-62, PN-35, PN-64",data/raw/e12/ssa/ssa-kld-tables.json,shape is flat within a corpus and differs ~3x between corpora; the KV-only control sits with the code cells
F8,fig08-metric-pair.csv,10,7cab01df1d41986b,"PN-16, PN-15, PN-43",data/raw/e12/ssa/ssa-kld-tables.json,top-1 agreement is HIGHER on code while mean KLD is roughly double: a top-1-only table inverts the conclusion
F9,fig09-ruler-closure.csv,14,9fc213f171d1b21a,"PN-33, PN-44, PN-60, PN-63",data/raw/e12/ruler/s12-ruler.json | data/raw/e12/ruler/s12-preds-Q6_K_XL-niah-c8192.json | data/raw/e12/ruler/s12-preds-Q4_K_XL-niah-c8192.json | data/raw/e12/ruler/s12-preds-Q6_K_XL-niah-c32768.json | data/raw/e12/ruler/s12-preds-Q4_K_XL-niah-c32768.json | data/raw/e12/ruler/s12-preds-Q6_K_XL-niah-c131072.json | data/raw/e12/ruler/s12-preds-Q4_K_XL-niah-c131072.json | data/raw/e12/ruler/s12-preds-Q6_K_XL-mkniah-c131072.json | data/raw/e12/ruler/s12-preds-Q4_K_XL-mkniah-c131072.json | data/raw/e12/ruler/s12-preds-Q6_K_XL-mk100-c131072.json | data/raw/e12/ruler/s12-preds-Q4_K_XL-mk100-c131072.json | data/raw/e12/ruler/s12-preds-Q6_K_XL-mkmock-c8192.json | data/raw/e12/ruler/s12-preds-Q4_K_XL-mkmock-c8192.json | data/raw/e12/ruler/s12-preds-Q6_K_XL-variable_tracking-c8192.json | data/raw/e12/ruler/s12-preds-Q4_K_XL-variable_tracking-c8192.json,closed_and_wrong is 0 in every cell: no item in this battery finished reasoning and answered wrongly
F9b,fig09b-ruler-mk100-paired.csv,3,22a24120b77b5ec4,"PN-44, PN-60, PN-63",data/raw/e12/ruler/s12-preds-Q6_K_XL-mk100-c131072.json | data/raw/e12/ruler/s12-preds-Q4_K_XL-mk100-c131072.json,"the published retrieval separation and the closure separation, side by side, plus the budget-unbound subset"
F10,fig10-protocol-swing.csv,7,ab59aa35bf63830a,"PN-49, PN-48",data/archive/ledger-data.json | data/multivac-src/PAPER-REFERENCES.md (host artifact paths recorded there),same weights throughout; 36x swing in the estimated effect comes only from measurement convention
F11,fig11-vram-asymmetry.csv,45,dab886de7ce565a5,"PN-6, PN-7, PN-12",data/raw/e12/tsweep-v2-Q4_K_XL.json | data/raw/e12/tsweep-v2-Q5_K_XL.json | data/raw/e12/tsweep-v2-Q6_K.json | data/raw/e12/tsweep-v2-Q6_K_XL.json | data/raw/e12/env-manifest.json,"card total 16,311 MiB (env-manifest); with -sm layer each layer's weights AND its KV slice sit on one card"
F12,fig12-decode-acceptance.csv,34,61fe87c020ca3e55,"PN-19, PN-36, PN-45 (+ reviewer C/D re-analysis)",data/raw/e12/tsweep-v2-Q4_K_XL.json | data/raw/e12/tsweep-v2-Q5_K_XL.json | data/raw/e12/tsweep-v2-Q6_K.json | data/raw/e12/tsweep-v2-Q6_K_XL.json,"OLS on the 262,144 / ctxcp-4 cells: decode = 4.526 + 11.316 x acceptance, r = 0.9091, R2 = 0.8265, residual SD 0.676 vs raw SD 1.570 (n = 17)"
F12b,fig12b-speed-groups.csv,22,3bb997a2249b5138,"PN-19, PN-36, PN-45",data/raw/e12/tsweep-v2-Q4_K_XL.json | data/raw/e12/tsweep-v2-Q5_K_XL.json | data/raw/e12/tsweep-v2-Q6_K.json | data/raw/e12/tsweep-v2-Q6_K_XL.json,spread_pct_over_median is PN-19's estimator (PN-45's corrected column); over_min is PN-36's
F13,fig13-divergence-length.csv,16,b6f40a646142c0ba,"PN-23, PN-26, PN-29",data/raw/e12/s8/s8-nospec.jsonl | data/raw/e12/s8/s8-mtp2.jsonl | data/raw/e12/s8/s8-mtp4.jsonl | data/raw/e12/s9/s9-dflash4-he.jsonl | data/raw/e12/s9/s9-nospec-r2.jsonl,quartiles are of the NO-SPEC baseline completion length; hazard is a constant-rate MLE with right censoring
F13b,fig13b-divergence-perproblem.csv,164,2095b8f732fb806d,"PN-23, PN-26",data/raw/e12/s8/s8-nospec.jsonl | data/raw/e12/s8/s8-mtp2.jsonl | data/raw/e12/s8/s8-mtp4.jsonl | data/raw/e12/s9/s9-dflash4-he.jsonl | data/raw/e12/s9/s9-nospec-r2.jsonl,per-problem record behind F13; 164 rows
F14,fig14-draftdepth.csv,27,29be28ea68539235,"PN-32, PN-9, PN-24",data/raw/e12/s9/s9d-depthsweep.json | data/raw/e12/s9/s9e-n262k.json,3 reps x 512 tokens per cell; the pooled acceptance interval is NOT the honest one (clustering)
F14b,fig14b-draftdepth-reps.csv,75,1e4a61a601726eb2,PN-32,data/raw/e12/s9/s9d-depthsweep.json | data/raw/e12/s9/s9e-n262k.json,"per-repetition values: the unit of independence is the generation, not the draft event"
F15,fig15-humaneval-ladders.csv,14,0e41f2bc9046c725,"PN-46, PN-47",data/archive/ledger-data.json | data/multivac-src/multivac-CLAUDE.md (thinking table),all rows pre-2026-08-29: irreproducible-on-current-images (PN-57)
F16,fig16-swebench-verified.csv,8,cf6cbee8cb447a67,"PN-50, PN-58",data/archive/ledger-data.json | data/multivac-src/multivac-CLAUDE.md §SWE-bench,"denominators differ across arms, so the rates are NOT over a common instance set; the ordering carries no information"
F17,fig17-q3-profile.csv,9,04d5deae3ca47c43,"PN-51, PN-61, PN-46",data/archive/ledger-data.json | data/archive/champion-timings.json | data/multivac-src/PAPER-REFERENCES.md §T3,every cheap instrument rates UD-Q3_K_XL well or best; only the expensive multi-step one rates it correctly
F17b,fig17b-agentic-steps.csv,4,30b0ea7a95545fbf,"PN-52, PN-51",data/multivac-src/PAPER-REFERENCES.md §Agentic steps COMPLETE (2026-08-28),n=3 instances; the Q6_K_XL column is an approximate mean carried from a different run and instance set
F18,fig18-cross-backend.csv,8,c3bb43f88b4783bb,"PN-53, PN-54, PN-55, PN-56",data/archive/ledger-data.json | data/archive/spec-speed-metrics.jsonl | data/multivac-src/PAPER-REFERENCES.md §CROSS-BACKEND SPEED TABLE,"different quantizations on different engines: backend, quantization, KV dtype and spec method all vary at once; depth-0 decode into a near-empty KV cache; power is modelled, not wall-socket measured"
F19,fig19-cost.csv,12,59cd9e4e219bdda0,PN-41,data/raw/e12/ssa/ssa-results-parsed.json | data/raw/e12/ssa/ssa-s5-results.json | data/raw/e12/ssa/ssa-s7-results.json | data/raw/e12/s9/s9-s6.json | data/raw/e12/ruler/s12-ruler.json | data/raw/e12/s8/s8-humaneval.json | data/raw/e12/s9/s9-determinism.json | data/raw/e12/s9/s9-dflash.json,summed from each artifact's own per-cell `seconds`; PN-41's 4.8 h for task benchmarking predates the n=100 MK-NIAH cell
