instrument,comparison,n,unit,effect,ci95_lo,ci95_hi,discordant,min_attainable_p,observed_p,estimator,protocol,evidence,verdict
HellaSwag (multiple choice),UD-Q6_K - UD-Q6_K_XL,400,accuracy pts,-0.5,-1.19,0.19,2,0.5,0.5,"paired difference, Wald 95 %","greedy logprob scoring, llama-perplexity --hellaswag",measured,"bounded, not separated"
HellaSwag (multiple choice),UD-Q5_K_XL - UD-Q6_K_XL,400,accuracy pts,0,0,0,0,1,1,"paired difference, Wald 95 %","greedy logprob scoring, llama-perplexity --hellaswag",measured,"bounded, not separated"
HellaSwag (multiple choice),UD-Q4_K_XL - UD-Q6_K_XL,400,accuracy pts,0.5,-0.19,1.19,2,0.5,0.5,"paired difference, Wald 95 %","greedy logprob scoring, llama-perplexity --hellaswag",measured,"bounded, not separated"
HellaSwag (multiple choice),UD-Q5_K_XL - UD-Q6_K,400,accuracy pts,0.5,-0.19,1.19,2,0.5,0.5,"paired difference, Wald 95 %","greedy logprob scoring, llama-perplexity --hellaswag",measured,"bounded, not separated"
HellaSwag (multiple choice),UD-Q4_K_XL - UD-Q6_K,400,accuracy pts,1,0.02,1.98,4,0.125,0.125,"paired difference, Wald 95 %","greedy logprob scoring, llama-perplexity --hellaswag",measured,"bounded, not separated"
HellaSwag (multiple choice),UD-Q4_K_XL - UD-Q5_K_XL,400,accuracy pts,0.5,-0.19,1.19,2,0.5,0.5,"paired difference, Wald 95 %","greedy logprob scoring, llama-perplexity --hellaswag",measured,"bounded, not separated"
HumanEval base (generative coding),UD-Q4_K_XL - UD-Q6_K_XL,164,pass@1 pts,-0.61,-2.68,1.46,3,0.25,1,"paired difference, Wald 95 %","DEC-2 official non-thinking (temp 0.7/top_p 0.80/top_k 20/presence 1.5), no-spec both arms",measured,"bounded, not separated"
HumanEval+ (base+extra) (generative coding),UD-Q4_K_XL - UD-Q6_K_XL,164,pass@1 pts,-0.61,-3.28,2.06,5,0.0625,1,"paired difference, Wald 95 %","DEC-2 official non-thinking (temp 0.7/top_p 0.80/top_k 20/presence 1.5), no-spec both arms",measured,"bounded, not separated"
"RULER S-NIAH @131,072 (retrieval)",UD-Q4_K_XL - UD-Q6_K_XL,12,accuracy pts,0,0,0,0,1,1,"paired difference, Wald 95 %","greedy, thinking ON, n_predict 128 — a fourth sampling configuration",recomputed,"bounded, not separated"
"RULER MK-NIAH @131,072 (retrieval, as published)",UD-Q4_K_XL - UD-Q6_K_XL,100,accuracy pts,-10,-15.88,-4.12,10,0.001953125,0.001953,"paired difference, Wald 95 %","greedy, thinking ON, n_predict 128 — a fourth sampling configuration",recomputed,"separated on OUTPUT BUDGET, not retrieval (PN-60)"
"RULER MK-NIAH @131,072, budget-unbound items only",UD-Q4_K_XL - UD-Q6_K_XL,55,accuracy pts,0,0,0,0,1,1,"paired difference, Wald 95 %","greedy, thinking ON, n_predict 128; items where both arms closed </think>",recomputed,no difference observable (55/55 both arms)
"RULER MK-NIAH @131,072 — reasoning-block closure",UD-Q4_K_XL - UD-Q6_K_XL,100,closure pts,-17,-26.62,-7.38,27,1.490116119e-08,0.001514,"paired difference, Wald 95 %","greedy, thinking ON, n_predict 128",recomputed,"SEPARATED — but the construct is verbosity, not retrieval"
"SWE-bench Verified (agentic, n~=50)",UD-IQ4_XS - UD-Q6_K,49,resolve-rate pts,2.04,,,,,,unpaired difference of rates; denominators differ (49/50/49),"greedy temp 0, mini-swe-agent 2.4.6, x86_64-corrected scoring",historical,"bounded, not separated (bootstrap CI +/-12 pts on one arm alone)"
"WikiText-2 perplexity, Protocol 1 (n=602 windows)",UD-IQ4_XS - UD-Q6_K_XL,602,perplexity,0.0328,,,,,,difference of point estimates; tool-reported SE +/-0.041 on each,"Protocol 1: llama-perplexity, 602 chunks @ n_ctx 512, half-window scoring",historical,"ladder ordering correct, no adjacent pair separated"
